example_id,input_kwargs,output_table_name,output_table_summary,metadata_span_kind,metadata_annotations,input_texts,input_show_progress
RGF0YXNldEV4YW1wbGU6MQ==,"{'table_str': 'AlbumId,Title,ArtistId\r\n1,For Those About To Rock We Salute You,1\r\n2,Balls to the Wall,2\r\n3,Restless and Wild,2\r\n4,Let There Be Rock,1\r\n5,Big Ones,3\r\n6,Jagged Little Pill,4\r\n7,Facelift,5\r\n8,Warner 25 Anos,6\r\n9,Plays Metallica By Four Cellos,7\r\n10,Audioslave,8\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",Album,"Summary of album and artist data. Table contains albums with titles and artist IDs, with AlbumId as the primary key and ArtistId referencing an artist table.",CHAIN,{},,
RGF0YXNldEV4YW1wbGU6Mg==,"{'table_str': 'ArtistId,Name\r\n1,AC/DC\r\n2,Accept\r\n3,Aerosmith\r\n4,Alanis Morissette\r\n5,Alice In Chains\r\n6,Antônio Carlos Jobim\r\n7,Apocalyptica\r\n8,Audioslave\r\n9,BackBeat\r\n10,Billy Cobham\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",Artist,"Summary of artist and their names. Table contains artist IDs and names, with ArtistId as the primary key.",CHAIN,{},,
RGF0YXNldEV4YW1wbGU6Mw==,"{'table_str': 'CustomerId,FirstName,LastName,Company,Address,City,State,Country,PostalCode,Phone,Fax,Email,SupportRepId\r\n1,Luís,Gonçalves,Embraer - Empresa Brasileira de Aeronáutica S.A.,""Av. Brigadeiro Faria Lima, 2170"",São José dos Campos,SP,Brazil,12227-000,+55 (12) 3923-5555,+55 (12) 3923-5566,luisg@embraer.com.br,3\r\n2,Leonie,Köhler,,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,+49 0711 2842222,,leonekohler@surfeu.de,5\r\n3,François,Tremblay,,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,+1 (514) 721-4711,,ftremblay@gmail.com,3\r\n4,Bjørn,Hansen,,Ullevålsveien 14,Oslo,,Norway,0171,+47 22 44 22 22,,bjorn.hansen@yahoo.no,4\r\n5,František,Wichterlová,JetBrains s.r.o.,Klanova 9/506,Prague,,Czech Republic,14700,+420 2 4172 5555,+420 2 4172 5555,frantisekw@jetbrains.com,4\r\n6,Helena,Holý,,Rilská 3174/6,Prague,,Czech Republic,14300,+420 2 4177 0449,,hholy@gmail.com,5\r\n7,Astrid,Gruber,,""Rotenturmstraße 4, 1010 Innere Stadt"",Vienne,,Austria,1010,+43 01 5134505,,astrid.gruber@apple.at,5\r\n8,Daan,Peeters,,Grétrystraat 63,Brussels,,Belgium,1000,+32 02 219 03 03,,daan_peeters@apple.be,4\r\n9,Kara,Nielsen,,Sønder Boulevard 51,Copenhagen,,Denmark,1720,+453 3331 9991,,kara.nielsen@jubii.dk,4\r\n10,Eduardo,Martins,Woodstock Discos,""Rua Dr. Falcão Filho, 155"",São Paulo,SP,Brazil,01007-010,+55 (11) 3033-5446,+55 (11) 3033-4564,eduardo@woodstock.com.br,4\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",Customer,"Summary of customer information including company, address, and contact details.",CHAIN,{},,
RGF0YXNldEV4YW1wbGU6NA==,"{'table_str': 'EmployeeId,LastName,FirstName,Title,ReportsTo,BirthDate,HireDate,Address,City,State,Country,PostalCode,Phone,Fax,Email\r\n1,Adams,Andrew,General Manager,,1962-02-18 00:00:00,2002-08-14 00:00:00,11120 Jasper Ave NW,Edmonton,AB,Canada,T5K 2N1,+1 (780) 428-9482,+1 (780) 428-3457,andrew@chinookcorp.com\r\n2,Edwards,Nancy,Sales Manager,1.0,1958-12-08 00:00:00,2002-05-01 00:00:00,825 8 Ave SW,Calgary,AB,Canada,T2P 2T3,+1 (403) 262-3443,+1 (403) 262-3322,nancy@chinookcorp.com\r\n3,Peacock,Jane,Sales Support Agent,2.0,1973-08-29 00:00:00,2002-04-01 00:00:00,1111 6 Ave SW,Calgary,AB,Canada,T2P 5M5,+1 (403) 262-3443,+1 (403) 262-6712,jane@chinookcorp.com\r\n4,Park,Margaret,Sales Support Agent,2.0,1947-09-19 00:00:00,2003-05-03 00:00:00,683 10 Street SW,Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,margaret@chinookcorp.com\r\n5,Johnson,Steve,Sales Support Agent,2.0,1965-03-03 00:00:00,2003-10-17 00:00:00,7727B 41 Ave,Calgary,AB,Canada,T3B 1Y7,1 (780) 836-9987,1 (780) 836-9543,steve@chinookcorp.com\r\n6,Mitchell,Michael,IT Manager,1.0,1973-07-01 00:00:00,2003-10-17 00:00:00,5827 Bowness Road NW,Calgary,AB,Canada,T3B 0C5,+1 (403) 246-9887,+1 (403) 246-9899,michael@chinookcorp.com\r\n7,King,Robert,IT Staff,6.0,1970-05-29 00:00:00,2004-01-02 00:00:00,590 Columbia Boulevard West,Lethbridge,AB,Canada,T1K 5N8,+1 (403) 456-9986,+1 (403) 456-8485,robert@chinookcorp.com\r\n8,Callahan,Laura,IT Staff,6.0,1968-01-09 00:00:00,2004-03-04 00:00:00,923 7 ST NW,Lethbridge,AB,Canada,T1H 1Y8,+1 (403) 467-3351,+1 (403) 467-8772,laura@chinookcorp.com\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",Employee,"Summary of employee and manager relationships. Table contains employee details, titles, and reporting relationships.",CHAIN,{},,
RGF0YXNldEV4YW1wbGU6NQ==,"{'table_str': 'GenreId,Name\r\n1,Rock\r\n2,Jazz\r\n3,Metal\r\n4,Alternative & Punk\r\n5,Rock And Roll\r\n6,Blues\r\n7,Latin\r\n8,Reggae\r\n9,Pop\r\n10,Soundtrack\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",Genre,Summary of music genres and their names.,CHAIN,{},,
RGF0YXNldEV4YW1wbGU6Ng==,"{'table_str': 'InvoiceId,CustomerId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total\r\n1,2,2009-01-01 00:00:00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98\r\n2,4,2009-01-02 00:00:00,Ullevålsveien 14,Oslo,,Norway,0171,3.96\r\n3,8,2009-01-03 00:00:00,Grétrystraat 63,Brussels,,Belgium,1000,5.94\r\n4,14,2009-01-06 00:00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,8.91\r\n5,23,2009-01-11 00:00:00,69 Salem Street,Boston,MA,USA,2113,13.86\r\n6,37,2009-01-19 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,0.99\r\n7,38,2009-02-01 00:00:00,Barbarossastraße 19,Berlin,,Germany,10779,1.98\r\n8,40,2009-02-01 00:00:00,""8, Rue Hanovre"",Paris,,France,75002,1.98\r\n9,42,2009-02-02 00:00:00,""9, Place Louis Barthou"",Bordeaux,,France,33000,3.96\r\n10,46,2009-02-03 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,,5.94\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",InvoiceDetails,Summary of invoice data including customer information and billing details.,CHAIN,{},,
RGF0YXNldEV4YW1wbGU6Nw==,"{'table_str': 'InvoiceLineId,InvoiceId,TrackId,UnitPrice,Quantity\r\n1,1,2,0.99,1\r\n2,1,4,0.99,1\r\n3,2,6,0.99,1\r\n4,2,8,0.99,1\r\n5,2,10,0.99,1\r\n6,2,12,0.99,1\r\n7,3,16,0.99,1\r\n8,3,20,0.99,1\r\n9,3,24,0.99,1\r\n10,3,28,0.99,1\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",InvoiceLineTrack,Tracks and invoice lines linked by track ID.,CHAIN,{},,
RGF0YXNldEV4YW1wbGU6OA==,"{'table_str': 'MediaTypeId,Name\r\n1,MPEG audio file\r\n2,Protected AAC audio file\r\n3,Protected MPEG-4 video file\r\n4,Purchased AAC audio file\r\n5,AAC audio file\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",MediaTypeIdAndName,Information about media types and their names.,CHAIN,{},,
RGF0YXNldEV4YW1wbGU6OQ==,"{'table_str': 'PlaylistId,Name\r\n1,Music\r\n2,Movies\r\n3,TV Shows\r\n4,Audiobooks\r\n5,90’s Music\r\n6,Audiobooks\r\n7,Movies\r\n8,Music\r\n9,Music Videos\r\n10,TV Shows\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",playlist,"Summary of playlist data, including titles and IDs.",CHAIN,{},,
RGF0YXNldEV4YW1wbGU6MTA=,"{'table_str': 'PlaylistId,TrackId\r\n1,3402\r\n1,3389\r\n1,3390\r\n1,3391\r\n1,3392\r\n1,3393\r\n1,3394\r\n1,3395\r\n1,3396\r\n1,3397\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",PlaylistTrack,"Information about playlists and tracks, with PlaylistId and TrackId as primary keys referencing other tables.",CHAIN,{},,
